classe,codigo,descricao,qtd,status
Req p inventário,258271,PARAF SEX 3/8 X 1.1/2 UNC (Un),"-904,00",OK
Req p inventário,279419,PORCA DUPLA DE 1/2 UNF,"-3,00",OK
Req p inventário,256808,PARAF FRANC 3/8 X 1 (Un),"-1,00",OK
Req p inventário,274057,PORCA SEX 1/2 UNF ZB (Un),"-2778,00",OK
Req p inventário,258416,PARAF SEX 5/16X 1.1/4 UNC (Un),"-86,00",OK
Req p inventário,259045,PARAF SEX 1/4 X 2.1/2 UNC (Un),"-305,00",OK
Req p inventário,274124,PORCA SEX 1/2 UNC ZB (Un),"-212,00",OK
Req p inventário,212092,ARRUELA LISA 1/2 CHAPA 1/8 ZB OU ZA (Un),"-724,00",OK
Req p inventário,212091,"ARRUELA LISA 3/8 ZB CHAPA 1,5MM (Un)","-32,00",OK
Req p inventário,222148,CONTRA PINO 3/16 X 1.1/2 (Un),"-7,00",OK
Req p inventário,258090,PARAF SEX 5/16X 3/4 UNC ZB (Un),"-91,00",OK
Req p inventário,200534,TERMINAL ILHOS DUPLO 1.5mm (Un),"-400,00",OK
Req p inventário,282169,REBITE DE ALUMINIO 6X12 (Un),"-2,00",OK
Req p inventário,212301,ARR. DE PRES. MÉDIA,"-8,00",OK
Req p inventário,700208,SACO PARA LIXO COM 40LTS (Un),"-1,00",OK
Req p inventário,200423,TERM ILHOS TUB 1MM (Un),"-415,00",OK
Req p inventário,274604,PORCA SEX 3/8 UNC ZB (Un),"-18,00",OK
Req p inventário,282005,REBITE DE ALUMINIO 4X6 (Un),"-3028,00",OK
Req p inventário,274355,PORCA SEXT 1/4,"-2500,00",OK
Req p inventário,200500,TERMINAL ILHOS TUBULAR 1.0mm (Un),"-1000,00",OK
Req p inventário,274409,PORCA SEX 1/4 UNC ZB (Un),"-10,00",OK
Req p inventário,717101,COPO PLÁSTICO DE 200ML. (Un),"-55100,00",OK
Req p inventário,717071,COPO PLASTICO P/ CAFE (Un),"-1850,00",OK
Req p inventário,200473,"Anilha identificador de fio 2,5MM N°3 (Un)","-68,00",OK
Req p inventário,200472,"Anilha identificador de fio 2,5MM N°2 (Un)","-41,00",OK
Req p inventário,200475,"Anilha identificador de fio 2,5MM N°5 (Un)","-62,00",OK
Req p inventário,212098,ARRUELA LISA 1/4 GALV (Un),"-60,00",OK
Req p inventário,200474,"Anilha identificador de fio 2,5MM N°4 (Un)","-116,00",OK
Req p inventário,200476,"Anilha identificador de fio 2,5MM N°6 (Un)","-36,00",OK
Req p inventário,200478,"Anilha identificador de fio 2,5MM N°8 (Un)","-31,00",OK
Req p inventário,200477,"Anilha identificador de fio 2,5MM N°7 (Un)","-26,00",OK
Req p inventário,200479,"Anilha identificador de fio 2,5MM N°9 (Un)","-25,00",OK
Req p inventário,222438,AÇO MT 60.00 CROMADO SAE 1045 NORMAL - CBH 6t/CBHM CAFEEIRA,"-36,00",OK
Req p inventário,222434,"AÇO MT 50.8 CROMADO SAE 1045 NORMAL 2"" - CBH/CBHM 5t / 7t","-15,00",OK
Req p inventário,313132,REDUTOR PARA PU (L),"382,30",OK
Req p inventário,313136,ESM. PU ACRILICO VERDE (L),"58,52",OK
Req p inventário,313131,ESM. PU ACRILICO LARANJA (L),"27,04",OK
Req p inventário,313133,ESM. PU ACRILICO VERMELHO (L),"9,24",OK
Req p inventário,350631,SOLVENTE (TOLUENO) (L),"50,12",OK
Req p inventário,350023,ANTI,"25,00",OK
Req p inventário,313210,CATALISADOR PU 1/1 5058 COMP B (L),"273,29",OK
Req p inventário,326537,SELADOR P/ MADEIRA,"10,80",OK
Req p inventário,313135,ESM. PU ACRILICO AZUL (L),"6,16",OK
Req p inventário,313134,ESM. PU ACRILICO AMARELO (L),"6,16",OK
Req p inventário,318413,ESM. SINT. LARANJA (L),"3,60",OK
